feature,coefficient,coefficient_abs
misparhodashimshiurprati_7.0,1.4437857210429268,1.4437857210429268
chipesshavua_2.0,-1.0322759181946095,1.0322759181946095
k_mispchadarim_98.0,0.9106600702823268,0.9106600702823268
misparhodashimsmartafut_5.0,-0.8748680472273161,0.8748680472273161
yamim_3.0,0.8181712938925227,0.8181712938925227
mosdothul,-0.7908823286090719,0.7908823286090719
misparhodashimsmartafut_12.0,0.7898600325297696,0.7898600325297696
schummeshekbayit_4500.0,0.7814727283371912,0.7814727283371912
mishkalprat,-0.7783554937260089,0.7783554937260089
gil,-0.7509070166302456,0.7509070166302456
men18up_5.0,0.7206240811194202,0.7206240811194202
schummeshekbayit_500.0,0.7081245217930047,0.7081245217930047
mishkalmb,0.6517524479740828,0.6517524479740828
labour_force_participation_True,0.605248728837401,0.605248728837401
misparhodashimshiurprati_6.0,0.5874106303886396,0.5874106303886396
schumachnhartzaa_900.0,0.5789140977192159,0.5789140977192159
haveIncome_True,-0.5732921020669703,0.5732921020669703
brutosachirnew,-0.5595353831445202,0.5595353831445202
k_mispchadarim_5.0,0.5590577275442532,0.5590577275442532
shana_2011.0,0.5432404260344801,0.5432404260344801
esek_72000.0,-0.5266992327286397,0.5266992327286397
misparhodashimhartzaa_12.0,-0.4841646690453065,0.4841646690453065
misparhodashimshiurprati_4.0,-0.4489953343361475,0.4489953343361475
avad12hodashim_was_missing_True,0.4447684192975126,0.4447684192975126
yamim_4.0,0.44223633999818773,0.44223633999818773
taasukaozeret_3.0,-0.4403768770892229,0.4403768770892229
nefashot15up_7.0,-0.43446498233094105,0.43446498233094105
men18up_6.0,0.42769529351375335,0.42769529351375335
esek_900000.0,0.4269155244455419,0.4269155244455419
yamim_2.0,0.4240202707915996,0.4240202707915996
misparhodashimhartzaa_4.0,0.4160430197558716,0.4160430197558716
matzavkavar_2.0,-0.40885211794692594,0.40885211794692594
matzavkatid_5.0,-0.3918973867888169,0.3918973867888169
taasukaozeret_2.0,0.3901104821433333,0.3901104821433333
yamim_7.0,0.38093792160187084,0.38093792160187084
esek_60000.0,-0.38088021466360467,0.38088021466360467
k_mispchadarim_4.0,0.37535068089872475,0.37535068089872475
misparhodashimhartzaa_2.0,0.3669227829484978,0.3669227829484978
esek_18000.0,0.3669227829484978,0.3669227829484978
nefashot15up_8.0,-0.35686171922924237,0.35686171922924237
k_mispchadarim_2.0,0.3551326308452076,0.3551326308452076
k_mispchadarim_3.0,0.3414825720529704,0.3414825720529704
matzavkatid_8.0,-0.3320351582583498,0.3320351582583498
esek_24000.0,-0.3246569524040509,0.3246569524040509
misparhodashimshiurprati_2.0,0.32388458160255085,0.32388458160255085
misparhodashimshiurprati_3.0,-0.30938918427049783,0.30938918427049783
men18up_4.0,-0.3064819337613864,0.3064819337613864
misparhodashimsmartafut_1.0,0.30057686998300315,0.30057686998300315
misparhodashimsmartafut_3.0,-0.29671992603199265,0.29671992603199265
schumachnhartzaa_1500.0,0.2707898360142854,0.2707898360142854
yamim_5.0,0.2701712043382764,0.2701712043382764
schummeshekbayit_3000.0,-0.26728560918268984,0.26728560918268984
men18up_1.0,0.2648901098424863,0.2648901098424863
matzavkatid_3.0,-0.26158851144990636,0.26158851144990636
misparhodashimsmartafut_4.0,-0.25661836969508134,0.25661836969508134
kamapachot_was_missing_True,-0.23629994107533644,0.23629994107533644
men18up_3.0,0.23467041514636844,0.23467041514636844
matzavkatid_4.0,-0.22527183609666993,0.22527183609666993
misparhodashimbituah_1.0,0.21771076286512225,0.21771076286512225
shaotbdk,0.21291072406046083,0.21291072406046083
pensiaavoda,-0.1938437342215204,0.1938437342215204
shaotavoday_was_missing_True,-0.19003800410683203,0.19003800410683203
esek_12000.0,-0.1734670726529152,0.1734670726529152
nefashot15up_4.0,-0.16925863965602306,0.16925863965602306
matzavkavar_8.0,-0.16771838082060037,0.16771838082060037
yamim_6.0,0.16640736601173545,0.16640736601173545
esek_20000.0,-0.16127671207547134,0.16127671207547134
misparhodashimsmartafut_2.0,0.1609434746442702,0.1609434746442702
mosdotnew,-0.15735661667722148,0.15735661667722148
matzavkavar_5.0,-0.15257101571545834,0.15257101571545834
schumachnhartzaa_1200.0,-0.14921773786728418,0.14921773786728418
nefashot15up_2.0,-0.14786727244824013,0.14786727244824013
hour_income,-0.136844231782252,0.136844231782252
misparhodashimshiurprati_12.0,0.13520849023648607,0.13520849023648607
misparhodashimhartzaa_5.0,-0.1305835189959823,0.1305835189959823
schumachnhartzaa_2000.0,-0.1305835189959823,0.1305835189959823
avad12hodashim,0.12417244624795225,0.12417244624795225
shana_2012.0,0.11517161369865524,0.11517161369865524
brutoazmaishnatinew,-0.10744392555390887,0.10744392555390887
matzavkavar_9.0,0.10579344871584345,0.10579344871584345
men18up_2.0,0.09425959784544644,0.09425959784544644
matzavkatid_9.0,-0.09424592298303992,0.09424592298303992
ribit,0.0917196461516004,0.0917196461516004
c_sachlemaase_was_missing_True,-0.08516513485158858,0.08516513485158858
achnbruavodkodem,0.07637573822087679,0.07637573822087679
hatavotlobbruto,0.0757506964999481,0.0757506964999481
shaotbdk_was_missing_True,0.0710504322777573,0.0710504322777573
rmbkt_2.0,-0.07019338148702743,0.07019338148702743
sacshnatikolel_lembnew,0.06633467252734573,0.06633467252734573
matzavkavar_4.0,-0.06520966891326586,0.06520966891326586
kamapachot,-0.06502638136840069,0.06502638136840069
schumachacherz,0.058664178676836154,0.058664178676836154
schummeshekbayit_200.0,-0.05140923256967194,0.05140923256967194
sacshnati_lepratnew,-0.048794608496816286,0.048794608496816286
milgatlimudim,0.042766875010777416,0.042766875010777416
nefashot15up_3.0,-0.042300198114529224,0.042300198114529224
misparhodashimhartzaa_1.0,0.040267414705415464,0.040267414705415464
shaotavoday,0.039624841436610846,0.039624841436610846
matzavkavar_3.0,-0.03608538334743216,0.03608538334743216
misparhodashimshiurprati_5.0,0.03600271266299343,0.03600271266299343
matzavkatid_2.0,-0.03311804387365402,0.03311804387365402
kupotgemel,0.025176623065444735,0.025176623065444735
nefashot15up_5.0,0.02419859861113981,0.02419859861113981
misparhodashimshiurprati_1.0,-0.023059460611514433,0.023059460611514433
nefashot15up_6.0,0.022126136615955454,0.022126136615955454
schirut,-0.013937636412222638,0.013937636412222638
anashim,-0.013931297126547603,0.013931297126547603
rmbkt_3.0,-0.011716171490952249,0.011716171490952249
hishtalmut,-0.006790772673411253,0.006790772673411253
intercept,-0.8969145946223167,0.8969145946223167
